file,duration_s,distance_m,speed_min,speed_max,speed_mean
VM2_1392507951,402.0,1731.9278364678603,0.14325380079000943,16.589765747054944,4.283632598790132
VM2_11848613,2457.0,11312.039486091173,0.0,9.825920022305498,4.600146991629753
VM2_-1186011742,2686.0,16599.533577649287,0.0007736642988210961,11.132983324931415,6.176194793471417
VM2_-32628840,1525.0,6456.539704649398,0.0,50.9086397020161,4.113699223958237
VM2_591711919,1732.0,6028.038119710345,0.0,8.02444077827095,3.471352927626156
VM2_-1081781532,1386.0,5783.040591273262,0.0,39.64789036938188,3.7436155019241757
VM2_-1875093504,1372.0,7205.985189906154,0.0007740536898372809,8.431668372512625,5.241532297426812
VM2_-1476408367,304.0,1040.741444333305,0.0,7.060006778411904,3.3839083376118495
VM2_458611740,1012.0,4003.003398673263,0.0,12.223212495896023,3.9372401403496387
VM2_1186046711,3393.0,19942.190559809038,0.0002254786615841916,8.723690289824951,5.872213112166043
VM2_-1332784775,2277.0,14185.383378996268,0.0,9.718198832434977,6.220974270748339
VM2_525465236,2472.99,9197.525050598544,0.0,10.21641898154669,3.7199828596315134
VM2_1320041568,1719.0,8643.29765078827,0.0,12.198929900857046,5.018123060704609
VM2_1532032921,63.0,158.3643501922141,0.2767479206523855,5.903727881204119,2.399459851397184
VM2_-2119111900,1727.0,7947.723573098824,0.0019090595939497811,10.86913513559788,4.602426572871479
VM2_-1381187786,1210.0,7264.799649938124,0.0015477473661696768,10.191685753983927,5.988543713557477
VM2_-1163287006,1666.0,6987.154273484919,0.0,8.751581478241127,4.190431147819378
VM2_276031722,1595.0,6351.089660151262,0.0,13.669269998214219,3.730044179109491
VM2_-399866152,3073.0,16619.392775649976,0.0011906059163820858,9.593208690758367,5.400239184204109
VM2_-638798689,1209.0,5152.813337367596,0.0011355479227841624,11.526553200582887,4.244642811988896
VM2_-856670295,3703.0,6513.415983071824,0.0,6.859254302823167,1.7577549732282816
VM2_-1868705770,2890.0,12340.440334793395,0.0,11.442325432356078,4.261760980403023
VM2_1247884118,194.0,668.7539843008444,0.0,8.950317126390113,3.387797834379874
VM2_32731903,1324.0,7382.779862048661,0.04891616778761949,8.340263117349545,5.560883417024191
VM2_-1432580106,1975.0,11341.644476393903,0.0,10.32939930978274,5.734364677174429
VM2_-2137041403,443.0,1564.1666243871525,0.15740340591259644,9.435446184164594,3.507590620061319
VM2_714160318,333.0,1032.6627437927998,0.0,5.699583190002063,3.0682128421629704
VM2_-1538083645,1376.0,7316.607816052794,0.003513460804972074,9.054625651510666,5.310877790242649
VM2_1025343210,232.0,1046.2348853525486,0.005792722318562903,7.973118913562703,4.441802550790211
VM2_21589404,1252.0,6603.5692606598695,0.008543227240936953,18.37024696569321,5.2709532468416675
VM2_-1423086484,1564.0,4687.492908180613,0.0,7.068453979246086,2.9932840532531224
VM2_-863533011,254.0,1011.918529369201,0.9152882418013704,5.251018119912672,3.931173139613652
VM2_-662714234,975.0,3997.633154263758,0.00037092354602728393,7.859061745207875,4.088677006658263
VM2_-628723362,2451.0,11506.245800097615,0.001748768161277587,16.773153077689777,4.688709154945815
VM2_-1816154307,1589.0,6380.108138985611,0.002933993808600422,7.9850172750411685,4.0065185158564915
VM2_-554294942,1230.0,5551.241141655124,0.005898729161077049,8.907929646711159,4.500056203355784
VM2_-1402961926,163.0,837.38383949521,2.19141722004307,8.829450881138197,5.04209089481996
VM2_1137684873,483.0,2129.3443265937476,0.4392594279155613,6.993996237245812,4.388031965493771
VM2_944654381,387.0,1435.1308361067909,0.014386221586763018,11.593258101552182,3.6785307733065356
VM2_-1231648582,326.0,1092.0125147310525,0.0,8.826794622858005,3.3129368576986575
VM2_-704350426,262.0,910.1712907950052,0.0058856583404521415,6.10687846743826,3.43763942869322
VM2_-362289349,1808.0,7804.098135162169,0.001201304391802096,25.68875506331082,4.314632018873666
VM2_-1052023536,1523.0,7865.432802971993,0.0013577822138510383,10.894841404853523,5.155735306302355
VM2_727627444,1293.0,5213.52294870094,0.002934343515615124,8.015615036366478,4.036068636128179
VM2_-545805393,981.0,4409.8964614998395,0.009566014413299408,13.887568545881045,4.48572564571972
VM2_-292609214,275.0,1022.5750614352744,0.036732452287973325,12.274860766564808,3.6768158088389287
VM2_-865432751,1476.0,7862.874119740929,0.00022629711995583423,10.286913264987342,5.322986193820646
VM2_-1493727371,509.0,1915.6360139335102,0.167591766715397,6.817490470278982,3.7546268874854425
VM2_848342233,481.001,2099.607618132215,0.00939055547429963,8.369206667598712,4.3295451857529645
VM2_-447229517,1522.0,6438.548598857087,0.0005850511883798729,30.402486468677598,4.218855517187529
VM2_-1821157415,339.0,1045.505216819422,0.0,5.8653691219296284,3.0574061369352856
VM2_769050685,1246.0,7087.750943738534,0.004477305276796475,9.109584946485645,5.676326103488734
VM2_606211276,1133.0,5000.170841537589,0.0,8.99123247430886,4.39625802251505
VM2_-1124859870,2457.0,10497.201675943239,0.0,7.60475514908432,4.268730346426837
VM2_-1166074310,1049.0,3270.9478545145957,0.0,28.86523782080044,3.019806886114019
VM2_1534897165,317.0,1776.6577302852315,1.108808579414318,28.31397610281218,5.568881783319849
VM2_1281117265,2735.0,18292.891209210808,0.0,13.314345328400156,6.683582182099615
