[SedonaDB] [aviation] query: inCityRadiusInPeriod: 151.4443449996179ms, result count: 2
[SedonaDB] [aviation] query: flightClosestToPoint: 106.86065199843142ms, result count: 1
[SedonaDB] [aviation] query: countFlightsInCounties: 163.2954089945997ms, result count: 1
[SedonaDB] [aviation] query: countFlightsInCounties: 195.67120500141755ms, result count: 1
[SedonaDB] [aviation] query: countFlightsInCounties: 241.34574799973052ms, result count: 1
[SedonaDB] [aviation] query: FlightUpdatesInPeriod: 18.878937997214962ms, result count: 851
[SedonaDB] [aviation] query: FlightUpdatesInPeriod: 27.861408998433035ms, result count: 1341
[SedonaDB] [aviation] query: FlightUpdatesInPeriod: 23.877729996456765ms, result count: 596
[SedonaDB] [aviation] query: airportUtilizationInPeriod: 131.28388400218682ms, result count: 175
[SedonaDB] [aviation] query: FlightUpdatesInPeriod: 25.294717997894622ms, result count: 1966
[SedonaDB] [aviation] query: countFlightsInCounties: 192.39998400007607ms, result count: 1
[SedonaDB] [aviation] query: flightClosestToPoint: 96.41329799342202ms, result count: 0
[SedonaDB] [aviation] query: airportUtilizationInPeriod: 131.3558359979652ms, result count: 361
[SedonaDB] [aviation] query: flightClosestToPoint: 92.537029995583ms, result count: 1
[SedonaDB] [aviation] query: FlightUpdatesInPeriod: 18.174484997871332ms, result count: 1226
[SedonaDB] [aviation] query: countFlightsInCounties: 192.9855620037415ms, result count: 1
[SedonaDB] [aviation] query: flightClosestToPoint: 91.73798499978147ms, result count: 1
[SedonaDB] [aviation] query: countFlightsInCounties: 164.14965099829715ms, result count: 1
[SedonaDB] [aviation] query: FlightUpdatesInPeriod: 21.406093997939024ms, result count: 857
[SedonaDB] [aviation] query: FlightUpdatesInPeriod: 23.328239003603812ms, result count: 851
[SedonaDB] [aviation] query: FlightUpdatesInPeriod: 24.576310999691486ms, result count: 425
[SedonaDB] [aviation] query: airportUtilizationInPeriod: 138.01519099797588ms, result count: 316
[SedonaDB] [aviation] query: flightClosestToPoint: 92.43514899571892ms, result count: 1
[SedonaDB] [aviation] query: countFlightsInCounties: 180.3065290005179ms, result count: 1
[SedonaDB] [aviation] query: airportUtilizationInPeriod: 129.2709109984571ms, result count: 171
[SedonaDB] [aviation] query: inCityRadiusInPeriod: 148.9135849988088ms, result count: 7
[SedonaDB] [aviation] query: airportUtilizationInPeriod: 133.6624010000378ms, result count: 173
[SedonaDB] [aviation] query: flightClosestToPoint: 107.54589100542944ms, result count: 1
[SedonaDB] [aviation] query: airportUtilizationInPeriod: 118.86560899438336ms, result count: 395
[SedonaDB] [aviation] query: flightClosestToPoint: 95.9539079995011ms, result count: 0
[SedonaDB] [aviation] query: flightClosestToPoint: 102.99675400165142ms, result count: 1
[SedonaDB] [aviation] query: FlightUpdatesInPeriod: 19.2418720034766ms, result count: 2117
[SedonaDB] [aviation] query: FlightUpdatesInPeriod: 22.06629200372845ms, result count: 212
[SedonaDB] [aviation] query: airportUtilizationInPeriod: 134.4940439958009ms, result count: 242
[SedonaDB] [aviation] query: flightClosestToPoint: 102.05050600052346ms, result count: 0
[SedonaDB] [aviation] query: inCityRadiusInPeriod: 134.5369609989575ms, result count: 8
[SedonaDB] [aviation] query: flightsInCountyInPeriod: 72.43247999576852ms, result count: 108
[SedonaDB] [aviation] query: flightClosestToPoint: 96.39040199544979ms, result count: 0
[SedonaDB] [aviation] query: countFlightsInCounties: 174.31652300001588ms, result count: 1
[SedonaDB] [aviation] query: flightClosestToPoint: 92.18787500140024ms, result count: 0
[SedonaDB] [aviation] query: airportUtilizationInPeriod: 132.90050200157566ms, result count: 100
[SedonaDB] [aviation] query: flightClosestToPoint: 93.60576600010972ms, result count: 1
[SedonaDB] [aviation] query: flightsInCountyInPeriod: 68.39700099953916ms, result count: 148
[SedonaDB] [aviation] query: FlightUpdatesInPeriod: 24.63638900371734ms, result count: 576
[SedonaDB] [aviation] query: flightsInCountyInPeriod: 71.72111399995629ms, result count: 134
[SedonaDB] [aviation] query: FlightUpdatesInPeriod: 24.807465000776574ms, result count: 942
[SedonaDB] [aviation] query: inCityRadiusInPeriod: 171.55048700078623ms, result count: 21
[SedonaDB] [aviation] query: FlightUpdatesInPeriod: 24.50514299562201ms, result count: 855
[SedonaDB] [aviation] query: airportUtilizationInPeriod: 137.31517699488904ms, result count: 320
[SedonaDB] [aviation] query: flightClosestToPoint: 91.33115800068481ms, result count: 0
[SedonaDB] [aviation] query: FlightUpdatesInPeriod: 18.44022599834716ms, result count: 785
[SedonaDB] [aviation] query: FlightUpdatesInPeriod: 22.525369000504725ms, result count: 538
[SedonaDB] [aviation] query: flightClosestToPoint: 90.77937099937117ms, result count: 0
[SedonaDB] [aviation] query: flightsInCountyInPeriod: 98.713672006852ms, result count: 191
[SedonaDB] [aviation] query: flightsInCountyInPeriod: 93.12872800364858ms, result count: 184
[SedonaDB] [aviation] query: airportUtilizationInPeriod: 136.26728000235744ms, result count: 352
[SedonaDB] [aviation] query: countFlightsInCounties: 187.04922799952328ms, result count: 1
[SedonaDB] [aviation] query: countFlightsInCounties: 195.73710300028324ms, result count: 1
[SedonaDB] [aviation] query: flightClosestToPoint: 102.6737360007246ms, result count: 1
[SedonaDB] [aviation] query: inCityRadiusInPeriod: 121.6838190011913ms, result count: 0
[SedonaDB] [aviation] query: airportUtilizationInPeriod: 131.80749800085323ms, result count: 305
[SedonaDB] [aviation] query: countFlightsInCounties: 253.19094900623895ms, result count: 1
[SedonaDB] [aviation] query: inCityRadiusInPeriod: 130.40027099486906ms, result count: 0
[SedonaDB] [aviation] query: flightsInCountyInPeriod: 100.33949299395317ms, result count: 406
[SedonaDB] [aviation] query: airportUtilizationInPeriod: 124.57095900026616ms, result count: 253
[SedonaDB] [aviation] query: inCityRadiusInPeriod: 160.4740229959134ms, result count: 10
[SedonaDB] [aviation] query: airportUtilizationInPeriod: 144.8530799971195ms, result count: 239
[SedonaDB] [aviation] query: countFlightsInCounties: 176.8352670042077ms, result count: 1
[SedonaDB] [aviation] query: FlightUpdatesInPeriod: 24.731566998525523ms, result count: 1359
[SedonaDB] [aviation] query: flightClosestToPoint: 101.99758899398148ms, result count: 0
[SedonaDB] [aviation] query: countFlightsInCounties: 175.4269890006981ms, result count: 1
[SedonaDB] [aviation] query: flightClosestToPoint: 87.86249099648558ms, result count: 1
[SedonaDB] [aviation] query: inCityRadiusInPeriod: 158.30135199939832ms, result count: 7
[SedonaDB] [aviation] query: flightsInCountyInPeriod: 88.97286299907137ms, result count: 105
[SedonaDB] [aviation] query: inCityRadiusInPeriod: 134.64460099930875ms, result count: 0
[SedonaDB] [aviation] query: inCityRadiusInPeriod: 161.55769400211284ms, result count: 4
[SedonaDB] [aviation] query: flightClosestToPoint: 107.15595899819164ms, result count: 1
[SedonaDB] [aviation] query: inCityRadiusInPeriod: 151.84698899975047ms, result count: 3
[SedonaDB] [aviation] query: flightsInCountyInPeriod: 99.77675600384828ms, result count: 259
[SedonaDB] [aviation] query: inCityRadiusInPeriod: 141.53344600345008ms, result count: 3
[SedonaDB] [aviation] query: flightClosestToPoint: 93.45140799996443ms, result count: 0
[SedonaDB] [aviation] query: airportUtilizationInPeriod: 122.40844999905676ms, result count: 44
[SedonaDB] [aviation] query: flightClosestToPoint: 105.13122100383043ms, result count: 1
[SedonaDB] [aviation] query: airportUtilizationInPeriod: 140.11794699763414ms, result count: 364
[SedonaDB] [aviation] query: countFlightsInCounties: 190.53780399553943ms, result count: 1
[SedonaDB] [aviation] query: airportUtilizationInPeriod: 127.55234599899268ms, result count: 294
[SedonaDB] [aviation] query: flightsInCountyInPeriod: 50.00121500052046ms, result count: 29
[SedonaDB] [aviation] query: FlightUpdatesInPeriod: 23.70705799694406ms, result count: 1210
[SedonaDB] [aviation] query: flightClosestToPoint: 105.43650099862134ms, result count: 0
[SedonaDB] [aviation] query: FlightUpdatesInPeriod: 18.233704002341256ms, result count: 1185
[SedonaDB] [aviation] query: FlightUpdatesInPeriod: 23.04877199640032ms, result count: 360
[SedonaDB] [aviation] query: inCityRadiusInPeriod: 151.18314000574173ms, result count: 4
[SedonaDB] [aviation] query: inCityRadiusInPeriod: 159.6906719933031ms, result count: 4
[SedonaDB] [aviation] query: countFlightsInCounties: 242.34769200120354ms, result count: 1
[SedonaDB] [aviation] query: airportUtilizationInPeriod: 129.09296200086828ms, result count: 366
[SedonaDB] [aviation] query: FlightUpdatesInPeriod: 24.297212999954354ms, result count: 1076
[SedonaDB] [aviation] query: flightsInCountyInPeriod: 85.58234199881554ms, result count: 163
[SedonaDB] [aviation] query: FlightUpdatesInPeriod: 26.079102004587185ms, result count: 1242
[SedonaDB] [aviation] query: flightClosestToPoint: 107.35758199734846ms, result count: 0
[SedonaDB] [aviation] query: FlightUpdatesInPeriod: 17.558473999088164ms, result count: 845
[SedonaDB] [aviation] query: FlightUpdatesInPeriod: 23.60434200090822ms, result count: 623
[SedonaDB] [aviation] query: flightsInCountyInPeriod: 87.9499790025875ms, result count: 132
