[SedonaDB] [cycling] query: rideCrossSeveralDistrictsInPeriod: 344.67995504383ms, result count: 51
[SedonaDB] [cycling] query: averageRideDurationToGoAtUniversityInPeriod: 3.6287910770624876ms, result count: 1
[SedonaDB] [cycling] query: countActiveRideInDistrict: 514.7030630614609ms, result count: 1
[SedonaDB] [cycling] query: averageRideDurationDuringDay: 4.659770987927914ms, result count: 1
[SedonaDB] [cycling] query: averageRideDurationToGoAtUniversityInPeriod: 6.020723027177155ms, result count: 1
[SedonaDB] [cycling] query: SortRidesByHourInPeriod: 93.26484007760882ms, result count: 16
[SedonaDB] [cycling] query: countActiveRideInDistrict: 542.122907936573ms, result count: 1
[SedonaDB] [cycling] query: SortRidesByHourInPeriod: 96.69281705282629ms, result count: 14
[SedonaDB] [cycling] query: rideCrossSeveralDistrictsInPeriod: 125.04888710100204ms, result count: 0
[SedonaDB] [cycling] query: averageRideDurationDuringDay: 6.8925219820812345ms, result count: 1
[SedonaDB] [cycling] query: countActiveRideInDistrict: 478.3736129757017ms, result count: 1
[SedonaDB] [cycling] query: SortRidesByHourInPeriod: 95.39900498930365ms, result count: 17
[SedonaDB] [cycling] query: SortRidesByHourInPeriod: 81.85014605987817ms, result count: 14
[SedonaDB] [cycling] query: SortRidesByHourInPeriod: 83.63366895355284ms, result count: 21
[SedonaDB] [cycling] query: RidesPastOrToUniversity: 431.4143239753321ms, result count: 540
[SedonaDB] [cycling] query: RidesPastOrToUniversity: 431.59927299711853ms, result count: 248
[SedonaDB] [cycling] query: RidesPastOrToUniversity: 459.0993330348283ms, result count: 697
[SedonaDB] [cycling] query: averageRideDurationDuringDay: 7.661527954041958ms, result count: 1
[SedonaDB] [cycling] query: averageRideDurationToGoAtUniversityInPeriod: 7.974953972734511ms, result count: 1
[SedonaDB] [cycling] query: rideCrossSeveralDistrictsInPeriod: 304.8814249923453ms, result count: 15
[SedonaDB] [cycling] query: SortRidesByHourInPeriod: 92.35901199281216ms, result count: 14
[SedonaDB] [cycling] query: SortRidesByHourInPeriod: 56.35534203611314ms, result count: 4
[SedonaDB] [cycling] query: rideCrossSeveralDistrictsInPeriod: 280.1553549943492ms, result count: 36
[SedonaDB] [cycling] query: rideCrossSeveralDistrictsInPeriod: 120.22281298413873ms, result count: 0
[SedonaDB] [cycling] query: SortRidesByHourInPeriod: 63.09771700762212ms, result count: 0
[SedonaDB] [cycling] query: SortRidesByHourInPeriod: 103.0406909994781ms, result count: 19
[SedonaDB] [cycling] query: RidesPastOrToUniversity: 701.388846966438ms, result count: 933
[SedonaDB] [cycling] query: countActiveRideInDistrict: 560.470681055449ms, result count: 1
[SedonaDB] [cycling] query: countActiveRideInDistrict: 486.54228600207716ms, result count: 1
[SedonaDB] [cycling] query: averageRideDurationDuringDay: 4.496935987845063ms, result count: 1
[SedonaDB] [cycling] query: rideCrossSeveralDistrictsInPeriod: 311.1157390521839ms, result count: 37
[SedonaDB] [cycling] query: RidesPastOrToUniversity: 512.5049530761316ms, result count: 589
[SedonaDB] [cycling] query: averageRideDurationDuringDay: 5.9548100689426064ms, result count: 1
[SedonaDB] [cycling] query: countActiveRideInDistrict: 502.6041290257126ms, result count: 1
[SedonaDB] [cycling] query: averageRideDurationToGoAtUniversityInPeriod: 9.054917958565056ms, result count: 1
[SedonaDB] [cycling] query: averageRideDurationDuringDay: 5.468641058541834ms, result count: 1
[SedonaDB] [cycling] query: RidesPastOrToUniversity: 807.8413170296699ms, result count: 1152
[SedonaDB] [cycling] query: SortRidesByHourInPeriod: 99.65158498380333ms, result count: 15
[SedonaDB] [cycling] query: countActiveRideInDistrict: 547.5001310696825ms, result count: 1
[SedonaDB] [cycling] query: RidesPastOrToUniversity: 471.0798599990085ms, result count: 367
[SedonaDB] [cycling] query: averageRideDurationDuringDay: 6.267482065595686ms, result count: 1
[SedonaDB] [cycling] query: rideCrossSeveralDistrictsInPeriod: 121.92320311442018ms, result count: 1
[SedonaDB] [cycling] query: SortRidesByHourInPeriod: 101.91246494650841ms, result count: 10
[SedonaDB] [cycling] query: countActiveRideInDistrict: 751.0963290696964ms, result count: 1
[SedonaDB] [cycling] query: averageRideDurationDuringDay: 5.191063974052668ms, result count: 1
